country,equipment_type,destroyed,abandoned,captured,damaged,type_total,date_recorded,destroyed_diff,abandoned_diff,captured_diff,damaged_diff,type_total_diff,destroyed_diff_diff,abandoned_diff_diff,captured_diff_diff,damaged_diff_diff,type_total_diff_diff
Russia,Aircraft,0,0,0,0,0,2022-02-23,0,0,0,0,0,0,0,0,0,0
Russia,Aircraft,13,0,0,0,13,2022-03-19,13,0,0,0,13,13,0,0,0,13
Russia,Aircraft,15,0,0,0,15,2022-03-26,2,0,0,0,2,-11,0,0,0,-11
Russia,Aircraft,15,0,0,0,15,2022-03-27,0,0,0,0,0,-2,0,0,0,-2
Russia,Aircraft,16,0,0,0,16,2022-03-28,1,0,0,0,1,1,0,0,0,1
Russia,Aircraft,16,0,0,1,17,2022-03-29,0,0,0,1,1,-1,0,0,1,0
Russia,Aircraft,19,0,0,1,20,2022-04-04,3,0,0,0,3,3,0,0,-1,2
Russia,Aircraft,20,0,0,1,21,2022-04-15,1,0,0,0,1,-2,0,0,0,-2
Russia,Aircraft,21,0,0,1,22,2022-04-18,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,23,0,0,1,24,2022-04-21,2,0,0,0,2,0,0,0,0,0
Russia,Aircraft,25,0,0,1,26,2022-05-05,2,0,0,0,2,0,0,0,0,0
Russia,Aircraft,26,0,0,1,27,2022-05-25,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,27,0,0,1,28,2022-05-28,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,28,0,0,1,29,2022-05-29,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,29,0,0,0,29,2022-05-30,1,0,0,-1,0,0,0,0,0,0
Russia,Aircraft,30,0,0,0,30,2022-06-02,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,30,0,0,1,31,2022-06-11,0,0,0,1,1,0,0,0,0,0
Russia,Aircraft,34,0,0,1,35,2022-06-26,4,0,0,0,4,0,0,0,0,0
Russia,Aircraft,35,0,0,1,36,2022-07-19,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,37,0,0,1,38,2022-07-20,2,0,0,0,2,0,0,0,0,0
Russia,Aircraft,48,0,0,2,50,2022-08-13,11,0,0,1,12,0,0,0,0,0
Russia,Aircraft,49,0,0,2,51,2022-08-14,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,50,0,0,2,52,2022-08-23,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,51,0,0,2,53,2022-09-08,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,54,0,0,2,56,2022-09-13,3,0,0,0,3,0,0,0,0,0
Russia,Aircraft,56,0,0,2,58,2022-09-25,2,0,0,0,2,0,0,0,0,0
Russia,Aircraft,57,0,0,2,59,2022-10-02,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,58,0,0,2,60,2022-10-04,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,59,0,0,2,61,2022-10-10,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,60,0,0,2,62,2022-10-12,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,61,0,0,2,63,2022-10-18,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,63,0,0,3,66,2022-12-06,2,0,0,1,3,0,0,0,0,0
Russia,Aircraft,63,0,0,4,67,2022-12-11,0,0,0,1,1,0,0,0,0,0
Russia,Aircraft,64,0,0,4,68,2023-01-06,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,64,0,0,5,69,2023-01-22,0,0,0,1,1,0,0,0,0,0
Russia,Aircraft,65,0,0,6,71,2023-02-12,1,0,0,1,2,0,0,0,0,0
Russia,Aircraft,65,0,0,7,72,2023-02-15,0,0,0,1,1,0,0,0,0,0
Russia,Aircraft,66,0,0,7,73,2023-02-23,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,67,0,0,7,74,2023-02-24,1,0,0,0,1,0,0,0,0,0
Russia,Aircraft,68,0,0,7,75,2023-03-01,1,0,0,0,1,0,0,0,0,0
