country,system,captured,destroyed,abandoned,damaged,total
Russia,(Unknown) vehicle,1,11,0,0,12
Russia,100mm MT-12 anti-tank gun,1,0,0,0,1
Russia,120mm 2B11/2S12,5,0,0,0,5
Russia,120mm 2B11/2S12A,1,0,0,0,1
Russia,120mm 2B16 Nona-K howitzer,1,0,2,0,3
Russia,120mm 2S23 Nona-SVK,9,0,0,0,9
Russia,120mm 2S34 Khosta,1,0,0,0,1
Russia,120mm 2S9 Nona,4,2,1,0,7
Russia,122mm 2B17 Tornado-G,0,2,0,0,2
Russia,122mm 2S1 Gvozdika,3,2,1,0,6
Russia,122mm BM-21 'Grad',11,10,6,2,29
Russia,122mm D-30 howitzer 2A18,5,1,3,0,9
Russia,152mm 2A65 Msta-B howitzer,3,4,1,2,10
Russia,152mm 2S19 Msta-S,9,8,10,0,27
Russia,152mm 2S3 Akatsiya,2,6,6,2,16
Russia,152mm 2S33 Msta-SM2,3,0,0,0,3
Russia,1L261 (for 1L260 Zoopark-1M counter-battery radar complex),1,0,0,0,1
Russia,1RL257 Krasukha-4 command post,1,0,0,0,1
Russia,1V119 artillery fire direction vehicle,5,1,0,0,6
Russia,1V13 battery fire control center,2,1,3,0,6
Russia,1V14 battery command and forward observer vehicle,1,0,1,0,2
Russia,220mm BM-27 'Uragan',2,3,0,0,5
Russia,220mm TOS-1A,1,0,1,0,2
Russia,23mm ZU-23,3,0,0,0,3
Russia,2K22M1 Tunguska,0,2,5,1,8
Russia,2S1 with ZU-23 AA gun,1,0,0,0,1
Russia,9A310M1 TELAR (for Buk-M1-2),0,2,0,1,3
Russia,9A310M2 TELAR (for Buk-M2),0,5,0,0,5
Russia,9A330 Tor TLAR (for 9K330 Tor-M),2,0,2,1,5
Russia,9A331 TLAR (for 9K331 Tor-M1),1,4,1,0,6
Russia,9A331M TLAR (for 9K332 Tor-M2),2,1,0,0,3
Russia,9A39M1 TEL (for Buk-M1-2),0,2,0,0,2
Russia,9A39M2 TEL (for Buk-M2),0,2,0,0,2
Russia,9K33 Osa,2,2,2,1,7
Russia,9K333 Verba,1,0,0,0,1
Russia,9K35 Strela-10,3,0,3,0,6
Russia,9K38 Igla,4,0,0,0,4
Russia,9M111 Fagot,3,0,0,0,3
Russia,9M113 Konkurs,14,0,0,0,14
Russia,9M113M Konkurs-M,1,0,0,0,1
Russia,9M114 Kokon,0,0,2,0,2
Russia,9P149 Shturm-S ATGM carrier,2,3,2,0,7
Russia,9S18М1(-3) (for Buk-M3),0,1,0,0,1
Russia,9S470M1 (or variant thereof) command post (for Buk-M1/2),0,1,0,0,1
Russia,9T217 transloader (for 9K33 Osa),1,1,0,0,2
Russia,9T452 transporter-loader (for BM-27 'Uragan' MRL),0,1,0,0,1
Russia,9М131 Metis-M,2,0,0,0,2
Russia,9М131F Metis-M1,1,0,0,0,1
Russia,9М133 Kornet,1,0,0,0,1
Russia,An-26 transport aircraft,0,1,0,0,1
Russia,Armoured SUV,1,0,0,1,2
Russia,Barnaul-T 9С932-1 automated system for air defence units,3,0,1,0,4
Russia,BAT-2 heavy engineering vehicle,0,1,0,0,1
Russia,BMD-1KSh-A command vehicle,0,1,0,0,1
Russia,BMD-2,28,22,7,2,59
Russia,BMD-4M,9,5,1,0,15
Russia,BMK-130M/BMK-150 towing and motor boat,0,0,1,0,1
Russia,BMP-1(P),11,10,0,1,22
Russia,BMP-1Khs,0,1,1,0,2
Russia,BMP-2,27,62,13,7,109
Russia,BMP-2K,0,0,1,0,1
Russia,BMP-3,16,24,1,1,42
Russia,BRDM-2,0,1,0,0,1
Russia,BREM-1 armoured recovery vehicle,2,0,0,0,2
Russia,BREM-Ch ''BREM-4'' armoured recovery vehicle,1,1,0,0,2
Russia,BREM-K armoured recovery vehicle,2,0,0,0,2
Russia,BRM-1K,0,5,0,0,5
Russia,BTR-80,25,18,6,1,50
Russia,BTR-82A,14,31,8,3,56
Russia,BTR-D,14,6,11,0,31
Russia,BTR-D APC with UR-67 mine clearing charge,1,0,0,0,1
Russia,BTR-MDM 'Rakushka',5,0,0,0,5
