country,equipment_type,destroyed,abandoned,captured,damaged,type_total
Russia,All Types,1041,235,771,38,2085
Russia,Tanks,149,43,142,6,340
Russia,Armoured Fighting Vehicles,114,34,92,0,240
Russia,Infantry Fighting Vehicles,176,30,114,2,322
Russia,Armoured Personnel Carriers,21,17,41,1,80
Russia,Mine-Resistant Ambush Protected,5,3,5,0,13
Russia,Infantry Mobility Vehicles,39,5,20,2,66
Russia,Communications Stations,3,4,6,0,13
Russia,Engineering Vehicles And Equipment,20,12,32,0,64
Russia,Anti-Tank Guided Missiles,0,24,39,0,63
Russia,"Man-Portable Air Defence Systems
",0,0,24,0,24
Russia,Heavy Mortars,1,0,8,0,9
Russia,Towed Artillery,8,5,28,2,43
Russia,Self-Propelled Artillery,18,15,25,2,60
Russia,Multiple Rocket Launchers,16,5,16,0,37
Russia,Anti-Aircraft Guns,0,0,3,0,3
Russia,Self-Propelled Anti-Aircraft Guns,5,3,1,0,9
Russia,Surface-To-Air Missile Systems,20,7,12,1,40
Russia,Radars,1,0,2,0,3
Russia,Jammers And Deception Systems,2,0,2,2,6
Russia,Aircraft,16,0,0,1,17
Russia,Helicopters,30,2,0,3,35
Russia,Unmanned Aerial Vehicles,12,0,6,0,18
Russia,Naval Ships,1,0,0,2,3
Russia,Logistics Trains,2,0,0,0,2
Russia,"Trucks, Vehicles and Jeeps",379,59,196,16,650
Ukraine,All Types,229,37,296,16,578
Ukraine,Tanks,26,9,42,0,77
Ukraine,Armoured Fighting Vehicles,22,4,35,0,61
Ukraine,Infantry Fighting Vehicles,26,9,23,2,60
Ukraine,Armoured Personnel Carriers,5,2,21,0,28
Ukraine,Infantry Mobility Vehicles,8,1,25,1,35
Ukraine,Engineering Vehicles,1,0,6,0,7
Ukraine,Anti-tank Guided Missiles,0,0,51,0,51
Ukraine,"Man-Portable Air Defence Systems
",0,0,16,0,16
Ukraine,Towed Artillery,8,3,11,3,25
Ukraine,Self-Propelled Artillery,7,1,7,1,16
Ukraine,Multiple Rocket Launchers,1,0,5,0,6
Ukraine,Anti-Aircraft Guns,0,0,2,0,2
Ukraine,"Self-Propelled Anti-Aircraft Guns
",0,0,1,0,1
Ukraine,"Surface-To-Air Missile Systems
",15,2,4,0,21
Ukraine,Radars,6,0,1,3,10
Ukraine,Aircraft,11,0,0,1,12
Ukraine,Helicopters,1,0,0,0,1
Ukraine,Unmanned Aerial Vehicles,7,0,2,0,9
Ukraine,Naval Ships,2,0,11,0,13
Ukraine,"Trucks, Vehicles and Jeeps",68,5,109,5,187
