country,equipment_type,destroyed,abandoned,captured,damaged,type_total
Russia,All Types,15929,1148,3026,879,20982
Russia,"Losses excluding Recon Drones and Trucks - 16477, of which: destroyed: 12366, damaged: 776, abandoned: 1095, captured: 2240",12366,1095,2240,776,16477
Russia,"Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs] - 12231, of which: destroyed: 9322, damaged: 370, abandoned: 999, captured: 1540",9322,999,1540,370,12231
Russia,Tanks,2771,385,533,158,3847
Russia,Armoured Fighting Vehicles,1584,112,273,36,2005
Russia,Infantry Fighting Vehicles,4450,459,629,153,5691
Russia,Armoured Personnel Carriers,477,42,94,18,631
Russia,Mine-Resistant Ambush Protected,40,1,11,5,57
Russia,Infantry Mobility Vehicles,284,11,51,18,364
Russia,Command Posts And Communications Stations,207,2,86,5,300
Russia,Engineering Vehicles And Equipment,379,58,154,46,637
Russia,Unmanned Ground Vehicles,5,0,0,0,5
Russia,Self-Propelled Anti-Tank Missile Systems,21,4,20,1,46
Russia,Artillery Support Vehicles And Equipment,75,1,55,0,131
Russia,Towed Artillery,266,5,98,91,460
Russia,Self-Propelled Artillery,739,7,109,49,904
Russia,Multiple Rocket Launchers,380,2,54,43,479
Russia,Anti-Aircraft Guns,40,0,18,1,59
Russia,Self-Propelled Anti-Aircraft Guns,16,2,7,2,27
Russia,Surface-To-Air Missile Systems,228,4,24,54,310
Russia,Radars,60,0,10,26,96
Russia,Jammers And Deception Systems,67,0,9,12,88
Russia,Aircraft,120,0,0,17,137
Russia,Helicopters,122,0,2,33,157
Russia,Unmanned Combat Aerial Vehicles,14,0,3,1,18
Russia,Reconnaissance Unmanned Aerial Vehicles,377,1,204,0,582
Russia,Naval Ships and Submarines,21,0,0,7,28
Russia,"Trucks, Vehicles, and Jeeps",3186,52,582,103,3923
Ukraine,All Types,6107,473,1260,562,8402
Ukraine,"Losses excluding Recon Drones and Trucks - 6823, of which: destroyed: 4944, damaged: 529, abandoned: 457, captured: 893",4944,457,893,529,6823
Ukraine,"Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs] - 4252, of which: destroyed: 3083, damaged: 232, abandoned: 369, captured: 568",3083,369,568,232,4252
Ukraine,Tanks,812,93,140,79,1124
Ukraine,Armoured Fighting Vehicles,333,11,86,16,446
Ukraine,Infantry Fighting Vehicles,951,122,150,62,1285
Ukraine,Armoured Personnel Carriers,607,101,141,37,886
Ukraine,Mine-Resistant Ambush Protected,380,42,51,38,511
Ukraine,Infantry Mobility Vehicles,593,55,153,44,845
Ukraine,Command Posts And Communications Stations,27,8,7,0,42
Ukraine,Engineering Vehicles And Equipment,153,18,33,24,228
Ukraine,Unmanned Ground Vehicles,1,0,0,0,1
Ukraine,Self-Propelled Anti-Tank Missile Systems,7,1,10,0,18
Ukraine,Artillery Support Vehicles And Equipment,16,0,13,0,29
Ukraine,Towed Artillery,137,3,22,76,238
Ukraine,Self-Propelled Artillery,407,0,25,73,505
Ukraine,Multiple Rocket Launchers,56,0,9,18,83
Ukraine,Anti-Aircraft Guns,0,0,4,0,4
Ukraine,Self-Propelled Anti-Aircraft Guns,28,1,4,5,38
Ukraine,"Surface-To-Air Missile Systems
",144,1,6,19,170
Ukraine,Radars And Communications Equipment,100,1,14,21,136
Ukraine,Jammers And Deception Systems,5,0,1,2,8
Ukraine,Aircraft,100,0,1,4,105
Ukraine,Helicopters,45,0,3,3,51
Ukraine,Unmanned Combat Aerial Vehicles,28,0,1,0,29
Ukraine,Reconnaissance Unmanned Aerial Vehicles,310,0,169,1,480
Ukraine,Naval Ships,14,0,19,8,41
Ukraine,"Trucks, Vehicles, and Jeeps",853,16,198,32,1099
